column,nominal_position_mm,green_median,green_std
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.627586206896551646e-01,6.005000000000000000e+02,1.014322348363126913e+01
2.000000000000000000e+00,5.255172413793103292e-01,5.740000000000000000e+02,9.130896116421919118e+00
3.000000000000000000e+00,7.882758620689654938e-01,5.595000000000000000e+02,9.119480827084158747e+00
4.000000000000000000e+00,1.051034482758620658e+00,5.540000000000000000e+02,8.825861619883541564e+00
5.000000000000000000e+00,1.313793103448275934e+00,1.330000000000000000e+02,9.460352207443911254e+00
6.000000000000000000e+00,1.576551724137930988e+00,1.265000000000000000e+02,8.655040278486415772e+00
7.000000000000000000e+00,1.839310344827586263e+00,1.230000000000000000e+02,7.873897630074250031e+00
8.000000000000000000e+00,2.102068965517241317e+00,1.220000000000000000e+02,6.511974813543293550e+00
9.000000000000000000e+00,2.364827586206896370e+00,1.200000000000000000e+02,5.232734506609967973e+00
1.000000000000000000e+01,2.627586206896551868e+00,1.205000000000000000e+02,4.055121504550347034e+00
1.100000000000000000e+01,2.890344827586206922e+00,1.200000000000000000e+02,4.875133545179386019e+00
1.200000000000000000e+01,3.153103448275861975e+00,1.210000000000000000e+02,5.008153074959094120e+00
1.300000000000000000e+01,3.415862068965517029e+00,1.190000000000000000e+02,5.101019437872744255e+00
1.400000000000000000e+01,3.678620689655172526e+00,1.175000000000000000e+02,4.217553842770317196e+00
1.500000000000000000e+01,3.941379310344827580e+00,1.160000000000000000e+02,3.421490497169650702e+00
1.600000000000000000e+01,4.204137931034482634e+00,1.150000000000000000e+02,3.703824506131765393e+00
1.700000000000000000e+01,4.466896551724137687e+00,1.140000000000000000e+02,3.358692598649394068e+00
1.800000000000000000e+01,4.729655172413792741e+00,1.130000000000000000e+02,2.942076812767168814e+00
1.900000000000000000e+01,4.992413793103448683e+00,1.110000000000000000e+02,3.054411086172477585e+00
2.000000000000000000e+01,5.255172413793103736e+00,1.100000000000000000e+02,3.752545432399481573e+00
2.100000000000000000e+01,5.517931034482758790e+00,1.100000000000000000e+02,3.843284185866735037e+00
2.200000000000000000e+01,5.780689655172413843e+00,1.100000000000000000e+02,3.523667498344428495e+00
2.300000000000000000e+01,6.043448275862068897e+00,1.080000000000000000e+02,4.025094891911107808e+00
2.400000000000000000e+01,6.306206896551723950e+00,1.080000000000000000e+02,3.188248822716877928e+00
2.500000000000000000e+01,6.568965517241379004e+00,1.070000000000000000e+02,4.105329784425228112e+00
2.600000000000000000e+01,6.831724137931034058e+00,1.060000000000000000e+02,4.030267429781249078e+00
2.700000000000000000e+01,7.094482758620689999e+00,1.045000000000000000e+02,4.740075523894341281e+00
2.800000000000000000e+01,7.357241379310345053e+00,1.020000000000000000e+02,4.773652733145412164e+00
2.900000000000000000e+01,7.620000000000000107e+00,9.850000000000000000e+01,4.237676168084997919e+00
3.000000000000000000e+01,7.882758620689655160e+00,9.800000000000000000e+01,3.648094536878121907e+00
3.100000000000000000e+01,8.145517241379311102e+00,9.950000000000000000e+01,3.624221659734525147e+00
3.200000000000000000e+01,8.408275862068965267e+00,9.900000000000000000e+01,4.768194321054179952e+00
3.300000000000000000e+01,8.671034482758621209e+00,1.000000000000000000e+02,4.214722872133931375e+00
3.400000000000000000e+01,8.933793103448275374e+00,9.800000000000000000e+01,3.986467996025219840e+00
3.500000000000000000e+01,9.196551724137931316e+00,9.900000000000000000e+01,4.251633672941366626e+00
3.600000000000000000e+01,9.459310344827585482e+00,9.900000000000000000e+01,3.853209340565630470e+00
3.700000000000000000e+01,9.722068965517241423e+00,1.030000000000000000e+02,3.815174380753198591e+00
3.800000000000000000e+01,9.984827586206897365e+00,1.020000000000000000e+02,3.662639834266474992e+00
3.900000000000000000e+01,1.024758620689655153e+01,1.020000000000000000e+02,3.691146972449379060e+00
4.000000000000000000e+01,1.051034482758620747e+01,1.000000000000000000e+02,3.702242188488242824e+00
4.100000000000000000e+01,1.077310344827586164e+01,1.000000000000000000e+02,2.795007329547138042e+00
4.200000000000000000e+01,1.103586206896551758e+01,9.850000000000000000e+01,2.664631384763503696e+00
4.300000000000000000e+01,1.129862068965517174e+01,9.900000000000000000e+01,3.598803813614864122e+00
4.400000000000000000e+01,1.156137931034482769e+01,9.900000000000000000e+01,3.309288275277463054e+00
