column,nominal_position_mm,green_median,green_std
0.000000000000000000e+00,1.313793103448275934e+00,6.023000000000000000e+04,8.999140006212212484e+02
1.000000000000000000e+00,1.348827586206896578e+00,5.998200000000000000e+04,9.216268265603956706e+02
2.000000000000000000e+00,1.383862068965517222e+00,5.974200000000000000e+04,9.212344182368312886e+02
3.000000000000000000e+00,1.418896551724138089e+00,5.928600000000000000e+04,9.068069226585281513e+02
4.000000000000000000e+00,1.453931034482758511e+00,5.920600000000000000e+04,9.320123241436949684e+02
5.000000000000000000e+00,1.488965517241379377e+00,5.913400000000000000e+04,8.767144319355130619e+02
6.000000000000000000e+00,1.523999999999999799e+00,5.892500000000000000e+04,1.006978598882058122e+03
7.000000000000000000e+00,1.559034482758620666e+00,5.870900000000000000e+04,9.091032443633773710e+02
8.000000000000000000e+00,1.594068965517241532e+00,5.850900000000000000e+04,9.884935362661570935e+02
9.000000000000000000e+00,1.629103448275861954e+00,5.831700000000000000e+04,1.403883375992076708e+03
1.000000000000000000e+01,1.664137931034482820e+00,5.820500000000000000e+04,1.912817297824328307e+03
1.100000000000000000e+01,1.699172413793103242e+00,5.789300000000000000e+04,2.064659412491915191e+03
1.200000000000000000e+01,1.734206896551724109e+00,5.777300000000000000e+04,1.551699517061442521e+03
1.300000000000000000e+01,1.769241379310344531e+00,5.778900000000000000e+04,1.207403097485563421e+03
1.400000000000000000e+01,1.804275862068965397e+00,5.767700000000000000e+04,1.000258117201939967e+03
1.500000000000000000e+01,1.839310344827586263e+00,5.752500000000000000e+04,1.072949634133447034e+03
1.600000000000000000e+01,1.874344827586206685e+00,5.763700000000000000e+04,9.749722605347011495e+02
1.700000000000000000e+01,1.909379310344827552e+00,5.824500000000000000e+04,9.468050006002819146e+02
1.800000000000000000e+01,1.944413793103447974e+00,5.908600000000000000e+04,1.539008984036370975e+03
1.900000000000000000e+01,1.979448275862068840e+00,4.549000000000000000e+04,7.919132076800932737e+03
2.000000000000000000e+01,2.014482758620689484e+00,1.812400000000000000e+04,3.237818860249311456e+03
2.100000000000000000e+01,2.049517241379310128e+00,1.432300000000000000e+04,1.176583818405785905e+03
2.200000000000000000e+01,2.084551724137930773e+00,1.438700000000000000e+04,1.142272676204534719e+03
2.300000000000000000e+01,2.119586206896551417e+00,1.421100000000000000e+04,1.125906618380330428e+03
2.400000000000000000e+01,2.154620689655172505e+00,1.415500000000000000e+04,1.082495744196536862e+03
2.500000000000000000e+01,2.189655172413793149e+00,1.392300000000000000e+04,1.055200825763744206e+03
2.600000000000000000e+01,2.224689655172413794e+00,1.381100000000000000e+04,1.034265650792677434e+03
2.700000000000000000e+01,2.259724137931034438e+00,1.379500000000000000e+04,1.017366365963848921e+03
2.800000000000000000e+01,2.294758620689655082e+00,1.368300000000000000e+04,1.021734838155038915e+03
2.900000000000000000e+01,2.329793103448275726e+00,1.361900000000000000e+04,1.017602746914260933e+03
3.000000000000000000e+01,2.364827586206896370e+00,1.355500000000000000e+04,1.024866765131309876e+03
3.100000000000000000e+01,2.399862068965517015e+00,1.350700000000000000e+04,1.016592369452495063e+03
3.200000000000000000e+01,2.434896551724137659e+00,1.345900000000000000e+04,9.765267415963776330e+02
3.300000000000000000e+01,2.469931034482758303e+00,1.345900000000000000e+04,9.319415273130147170e+02
3.400000000000000000e+01,2.504965517241379391e+00,1.339500000000000000e+04,9.098635599919663264e+02
3.500000000000000000e+01,2.540000000000000036e+00,1.336300000000000000e+04,9.298580219022900337e+02
3.600000000000000000e+01,2.575034482758620680e+00,1.325100000000000000e+04,9.164211573554148345e+02
3.700000000000000000e+01,2.610068965517241324e+00,1.328300000000000000e+04,8.917868789842556225e+02
3.800000000000000000e+01,2.645103448275861968e+00,1.313100000000000000e+04,8.631986473269305407e+02
3.900000000000000000e+01,2.680137931034482612e+00,1.312300000000000000e+04,8.927204636517817562e+02
4.000000000000000000e+01,2.715172413793103257e+00,1.307500000000000000e+04,9.332779474984465651e+02
4.100000000000000000e+01,2.750206896551723901e+00,1.296300000000000000e+04,8.324592883225715241e+02
4.200000000000000000e+01,2.785241379310344545e+00,1.296300000000000000e+04,7.975743655499722990e+02
4.300000000000000000e+01,2.820275862068965189e+00,1.303500000000000000e+04,8.045602005032860689e+02
4.400000000000000000e+01,2.855310344827586277e+00,1.297900000000000000e+04,8.097590024714637593e+02
4.500000000000000000e+01,2.890344827586206922e+00,1.293900000000000000e+04,7.477023104297616101e+02
4.600000000000000000e+01,2.925379310344827566e+00,1.285100000000000000e+04,7.338066566003160460e+02
4.700000000000000000e+01,2.960413793103447766e+00,1.286700000000000000e+04,7.103433118218998743e+02
4.800000000000000000e+01,2.995448275862068854e+00,1.286700000000000000e+04,6.988464773656484113e+02
4.900000000000000000e+01,3.030482758620689498e+00,1.285100000000000000e+04,7.037461203561232423e+02
5.000000000000000000e+01,3.065517241379310143e+00,1.283500000000000000e+04,6.912271043834109605e+02
5.100000000000000000e+01,3.100551724137931231e+00,1.272300000000000000e+04,6.486066438800778542e+02
5.200000000000000000e+01,3.135586206896551431e+00,1.275500000000000000e+04,6.442071340973992619e+02
5.300000000000000000e+01,3.170620689655172075e+00,1.281900000000000000e+04,6.378663115543870390e+02
5.400000000000000000e+01,3.205655172413793164e+00,1.277100000000000000e+04,6.316520271374981803e+02
5.500000000000000000e+01,3.240689655172413808e+00,1.272300000000000000e+04,5.897012535411058707e+02
5.600000000000000000e+01,3.275724137931034452e+00,1.278700000000000000e+04,5.922373189145093875e+02
5.700000000000000000e+01,3.310758620689654652e+00,1.281900000000000000e+04,5.652939494407904704e+02
5.800000000000000000e+01,3.345793103448275740e+00,1.273900000000000000e+04,5.589834375391533285e+02
5.900000000000000000e+01,3.380827586206896385e+00,1.278700000000000000e+04,5.641096657478655061e+02
6.000000000000000000e+01,3.415862068965517029e+00,1.280300000000000000e+04,5.606859950045355845e+02
6.100000000000000000e+01,3.450896551724137229e+00,1.278700000000000000e+04,5.210234552338714593e+02
6.200000000000000000e+01,3.485931034482758317e+00,1.273900000000000000e+04,5.328266357018644612e+02
6.300000000000000000e+01,3.520965517241378961e+00,1.281900000000000000e+04,5.134935399958702646e+02
6.400000000000000000e+01,3.556000000000000050e+00,1.285100000000000000e+04,5.481122055922181744e+02
6.500000000000000000e+01,3.591034482758620694e+00,1.281900000000000000e+04,5.202512077687031251e+02
6.600000000000000000e+01,3.626068965517240894e+00,1.278700000000000000e+04,5.510010270123561895e+02
6.700000000000000000e+01,3.661103448275861538e+00,1.277100000000000000e+04,5.695554239761208919e+02
6.800000000000000000e+01,3.696137931034482627e+00,1.275500000000000000e+04,5.587901719142507773e+02
6.900000000000000000e+01,3.731172413793103271e+00,1.277100000000000000e+04,5.321640065652564999e+02
7.000000000000000000e+01,3.766206896551724359e+00,1.278700000000000000e+04,5.742311597253107038e+02
7.100000000000000000e+01,3.801241379310344115e+00,1.273900000000000000e+04,5.533721213813314534e+02
7.200000000000000000e+01,3.836275862068965203e+00,1.280300000000000000e+04,5.801806688451515583e+02
7.300000000000000000e+01,3.871310344827585848e+00,1.273900000000000000e+04,5.629998043968971615e+02
7.400000000000000000e+01,3.906344827586206936e+00,1.267500000000000000e+04,5.939954207274651026e+02
7.500000000000000000e+01,3.941379310344827580e+00,1.274700000000000000e+04,6.279867298397152808e+02
7.600000000000000000e+01,3.976413793103447780e+00,1.267500000000000000e+04,6.094474007373171389e+02
7.700000000000000000e+01,4.011448275862068868e+00,1.269100000000000000e+04,5.711141662622302420e+02
7.800000000000000000e+01,4.046482758620689069e+00,1.271500000000000000e+04,5.994753891833339594e+02
7.900000000000000000e+01,4.081517241379310157e+00,1.269900000000000000e+04,6.247142157142750420e+02
8.000000000000000000e+01,4.116551724137931245e+00,1.273900000000000000e+04,5.822660534488038593e+02
8.100000000000000000e+01,4.151586206896551445e+00,1.265900000000000000e+04,6.039300950351359916e+02
8.200000000000000000e+01,4.186620689655171645e+00,1.273100000000000000e+04,5.844746302682191299e+02
8.300000000000000000e+01,4.221655172413792734e+00,1.263500000000000000e+04,6.006096071932255427e+02
8.400000000000000000e+01,4.256689655172413822e+00,1.261100000000000000e+04,5.918751737836336133e+02
8.500000000000000000e+01,4.291724137931034910e+00,1.261900000000000000e+04,6.102275420955077152e+02
